"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","1.0761","1.0690","1.0769","1.0661","","0.68%"
"05/31/2023","1.0688","1.0736","1.0737","1.0634","","-0.42%"
"05/30/2023","1.0733","1.0707","1.0747","1.0672","","0.26%"
"05/29/2023","1.0705","1.0726","1.0745","1.0705","","-0.18%"
"05/26/2023","1.0724","1.0722","1.0760","1.0701","","0.05%"
"05/25/2023","1.0719","1.0750","1.0757","1.0707","","-0.27%"
"05/24/2023","1.0748","1.0775","1.0802","1.0747","","-0.19%"
"05/23/2023","1.0768","1.0812","1.0821","1.0760","","-0.40%"
"05/22/2023","1.0811","1.0814","1.0832","1.0795","","0.08%"
"05/19/2023","1.0802","1.0771","1.0829","1.0760","","0.31%"
"05/18/2023","1.0769","1.0840","1.0848","1.0762","","-0.65%"
"05/17/2023","1.0839","1.0862","1.0875","1.0810","","-0.20%"
"05/16/2023","1.0861","1.0874","1.0905","1.0855","","-0.10%"
"05/15/2023","1.0872","1.0856","1.0891","1.0845","","0.22%"
"05/12/2023","1.0848","1.0916","1.0936","1.0848","","-0.60%"
"05/11/2023","1.0914","1.0981","1.0999","1.0899","","-0.60%"
"05/10/2023","1.0980","1.0961","1.1007","1.0941","","0.18%"
"05/09/2023","1.0960","1.1006","1.1006","1.0941","","-0.40%"
"05/08/2023","1.1004","1.1033","1.1055","1.0999","","-0.12%"
"05/05/2023","1.1017","1.1012","1.1049","1.0967","","0.05%"
"05/04/2023","1.1011","1.1060","1.1092","1.0985","","-0.43%"
"05/03/2023","1.1059","1.0999","1.1092","1.0999","","0.55%"
"05/02/2023","1.0999","1.0973","1.1009","1.0941","","0.22%"
"05/01/2023","1.0975","1.1035","1.1038","1.0963","","-0.41%"
"04/28/2023","1.1020","1.1028","1.1046","1.0962","","-0.06%"
"04/27/2023","1.1027","1.1042","1.1064","1.0992","","-0.12%"
"04/26/2023","1.1040","1.0972","1.1096","1.0967","","0.62%"
"04/25/2023","1.0972","1.1046","1.1068","1.0963","","-0.62%"
"04/24/2023","1.1041","1.0991","1.1051","1.0965","","0.49%"
"04/21/2023","1.0987","1.0970","1.0994","1.0938","","0.18%"
"04/20/2023","1.0967","1.0956","1.0991","1.0933","","0.12%"
"04/19/2023","1.0954","1.0972","1.0984","1.0917","","-0.15%"
"04/18/2023","1.0971","1.0924","1.0984","1.0921","","0.41%"
"04/17/2023","1.0926","1.0990","1.1000","1.0908","","-0.67%"
