Div,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoal,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP
F1,29/09/2001,Lyon,Rennes,4,0,H,3,0,H,1.95,3.3,3.4,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,2,3.4,3.25,1.44,3.5,7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,29/09/2001,Montpellier,Lorient,1,3,A,0,2,A,1.95,3.3,3.4,1.8,2.8,3.8,2.1,3,3.2,1.91,3.2,3.5,2,3.4,3.25,1.9,2.87,4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,29/09/2001,Nantes,Metz,0,0,D,0,0,D,1.95,3.3,3.4,1.8,2.9,3.6,1.8,3.2,4,1.75,3.2,4.2,2,3.4,3.25,1.9,3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,30/09/2001,Bordeaux,Paris SG,1,0,H,1,0,H,1.95,3.3,3.4,2,2.7,3.2,2.37,3,2.75,2.25,3,2.9,2.25,3,2.88,2.25,2.8,3.1,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,30/09/2001,Sedan,Lille,1,1,D,1,0,H,1.95,3.3,3.4,2.3,2.7,2.7,2.62,3.2,2.37,2.6,3,2.5,2.5,2.88,2.62,2.62,2.87,2.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,30/09/2001,Troyes,Sochaux,2,2,D,0,2,A,1.95,3.3,3.4,1.9,2.8,3.3,2,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.9,3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Auxerre,Troyes,1,3,A,1,1,D,1.95,3.3,3.4,1.65,3.3,4.4,2,3.25,3.2,1.95,3.25,3.4,1.67,3.25,4.5,1.72,3.1,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Lille,Nantes,1,0,H,0,0,D,1.95,3.3,3.4,1.7,3.2,4.2,2,3.25,3.2,1.95,3.25,3.4,1.67,3.25,4.5,1.57,3.3,5.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Lorient,Lens,2,3,A,1,3,A,1.95,3.3,3.4,2.5,2.7,2.8,2,3.25,3.2,1.95,3.25,3.4,2.5,2.88,2.62,2.5,2.9,2.62,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Metz,Marseille,0,2,A,0,1,A,1.95,3.3,3.4,2.1,2.8,3.3,2,3.25,3.2,1.95,3.25,3.4,2.1,3,3.2,2,3,3.4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Monaco,Sedan,2,0,H,0,0,D,1.95,3.3,3.4,1.6,3.4,4.6,2,3.25,3.2,1.95,3.25,3.4,1.62,3.25,5,1.61,3.3,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Montpellier,Bordeaux,0,0,D,0,0,D,1.95,3.3,3.4,2.8,2.7,2.5,2,3.25,3.2,1.95,3.25,3.4,2.6,3,2.5,2.87,2.8,2.4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Rennes,Guingamp,2,1,H,1,0,H,1.95,3.3,3.4,2,2.9,3.4,2,3.25,3.2,1.95,3.25,3.4,2,3,3.4,1.9,3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,13/10/2001,Sochaux,Bastia,4,1,H,2,0,H,1.95,3.3,3.4,1.9,2.9,3.8,2,3.25,3.2,1.95,3.25,3.4,1.91,3.2,3.5,1.9,3.1,3.6,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,14/10/2001,Paris SG,Lyon,2,2,D,1,2,A,1.95,3.3,3.4,2.1,2.8,3.3,2,3.25,3.2,1.95,3.25,3.4,2.25,3,2.88,2.1,2.87,3.3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
